id,name,type,lat,lon,status_lokasi,contact_number
6f76e609-6a3d-4866-8ea4-f433c81dc029,Rumah Sakit Siloam,HOSPITAL,-6.21909,106.8171913,Buka 24 Jam,
e537d1f7-151b-4166-ae16-ebc55592a88c,Rumah Sakit Ibu Dan Anak Brawijaya Duren Tiga,HOSPITAL,-6.253289,106.8411934,Buka 24 Jam,
01445064-7dfb-49e5-85aa-4e3e61eed152,RSU Bunda Jakarta,HOSPITAL,-6.1959654,106.8371674,Buka 24 Jam,+62 1 500 799
b8970b22-3095-4a7c-8160-a6be2373e5b7,Polsek Metropolitan Menteng,POLICE_STATION,-6.1964515,106.8382948,Buka 24 Jam,
f5b645cc-e65e-4432-a7e3-db2f32ddc4b7,Rumah Sakit YPK Mandiri,HOSPITAL,-6.1913149,106.8278537,Buka 24 Jam,
39d187d6-5675-4542-9c28-981bd36a196a,Rumah Sakit Abdi Waluyo,HOSPITAL,-6.1898132,106.8293587,Buka 24 Jam,
f695c50c-66bf-4587-b2e6-46bc24030c3c,RSUD Johar Baru,HOSPITAL,-6.1818294,106.8504636,Buka 24 Jam,
af3a100c-95d6-437f-81f2-71f1ca86074f,Resor Metropolitan Jakpus Sektor Cempaka Putih,POLICE_STATION,-6.1731269,106.8614641,Buka 24 Jam,
ed273402-6362-4f3b-b1b0-0fadcb0a5051,Rumah Sakit Menteng Mitra Afia,HOSPITAL,-6.1868538,106.8384083,Buka 24 Jam,
06132952-a450-4f6b-8c1f-130816552166,RSIA Sayyidah,HOSPITAL,-6.2302838,106.9253539,Buka 24 Jam,
6fb40125-4983-4da4-8cd7-f10f50f663f2,Pertamina,GAS_STATION,-6.176069,106.8677142,Buka,
04d0cd35-2149-4260-923f-ec396ef2656e,Rumah Sehat Sunda Kelapa,HOSPITAL,-6.2008329,106.8319244,Buka 24 Jam,
e892a58f-b297-4d91-ab74-b78f8bff6e4b,Kantor Polisi Sub. Sektor Menteng Dalam,POLICE_STATION,-6.2350739,106.8365378,Buka 24 Jam,
2ba5b87e-a6bb-4ce4-9c91-acdcf94844b1,Polsek Johar Baru,POLICE_STATION,-6.1834671,106.8496025,Buka 24 Jam,
d529e5c6-8310-4ea2-a190-edfb834cb3b3,Rumah Sakit Ibu dan Anak Budhi Jaya,HOSPITAL,-6.218954,106.8449439,Buka 24 Jam,
90071d69-53e3-4aa8-a6f9-1f3984d356b8,34.13201,GAS_STATION,-6.213745,106.8933192,Buka,
48cf17db-dc5d-4a22-8be1-31ba7b13a53e,Polsek Metro Mampang Prapatan,POLICE_STATION,-6.2406084,106.8266858,Buka 24 Jam,
c850dae9-d334-4811-9d20-a95741018b85,Pertamina,GAS_STATION,-6.2478348,106.8268616,Buka,
3e4e9322-e83f-4c48-817b-0eb03ba0bf06,Polsek Metropolitan Setiabudi,POLICE_STATION,-6.2112378,106.825946,Buka 24 Jam,
b9411647-7120-48ed-8e3c-6e850a723703,Rumah Sakit Tebet,HOSPITAL,-6.2425781,106.8501822,Buka 24 Jam,+6287872016439
7e6a6719-22e9-4ba5-8300-1e24149e4ec3,SPBU 34-12804,GAS_STATION,-6.2359091,106.8446464,Buka 24 Jam,
92b65c6f-705b-4f62-b0e6-c1c5934a5575,Polsek Cempaka Putih Subsektor Ahmad Yani,POLICE_STATION,-6.1835416,106.8752406,Buka 24 Jam,
fc2bd465-45f4-420d-ae23-f2e28dfda8bb,Kantor Polisi Sektor Manggarai,POLICE_STATION,-6.2089379,106.8455752,Buka 24 Jam,
12a6e82e-0f95-44fe-bd7d-5b59019dffa3,Rumah Sakit PGI CIKINI,HOSPITAL,-6.1913911,106.8418202,Buka 24 Jam,
a461ba93-670a-4d9d-b675-52429dbb2cad,Rumah Sakit Bersalin Elshama,HOSPITAL,-6.2817889,106.8715226,Buka 24 Jam,
a99e8cf8-d0f7-4d5c-a1ee-20b2479941db,Rumah Sakit Umum Pengayoman,HOSPITAL,-6.2155914,106.8837973,Buka 24 Jam,
da381ab5-ad9a-4e23-90db-fbf54962d109,Rumah Sakit Harapan Jayakarta,HOSPITAL,-6.1950006,106.9058521,Buka 24 Jam,
786d0f3d-1c35-4df1-8ee3-0fe4de829629,RS Hermina Kemayoran,HOSPITAL,-6.1542962,106.845645,Buka 24 Jam,
12529705-68dc-4da4-aebd-ff7f4df626a8,SPBU 34.127.01,GAS_STATION,-6.2615366,106.8289608,Buka,
85b5b815-e065-40aa-aff4-d5920803866c,Pertamina 34-13502,GAS_STATION,-6.2895079,106.8557552,Buka,
